teamid,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,region
0,0,0,0,0,0,0,0,0,0,0,0,0,na1
1,1,1,1,0,0,1,0,1,0,0,2,0,na1
2,0,0,0,0,0,0,0,0,0,0,0,0,na1
3,1,1,1,1,0,1,1,8,1,0,2,1,na1
4,1,1,1,1,0,1,0,10,2,0,1,0,na1
5,0,0,0,0,0,0,0,0,0,0,0,0,na1
6,1,1,1,0,1,1,1,4,0,1,2,1,na1
7,0,0,0,0,0,0,0,0,0,0,1,0,na1
8,1,1,0,0,1,0,0,6,0,1,2,0,na1
9,0,0,1,0,0,1,1,4,0,0,3,1,na1
10,1,0,1,1,1,0,1,10,1,1,3,1,na1
11,0,1,0,0,0,1,0,3,0,0,2,1,na1
12,0,1,0,0,0,0,1,3,0,0,0,1,na1
13,1,0,1,0,1,1,0,5,0,1,3,1,na1
14,1,1,0,1,1,0,1,9,1,1,1,1,na1
15,0,0,1,0,0,1,0,4,0,0,3,0,na1
16,0,1,1,0,0,0,1,2,0,0,0,2,na1
17,1,0,0,1,1,1,0,9,2,1,3,0,na1
18,1,1,0,1,0,1,1,8,1,0,2,1,na1
19,0,0,1,0,1,0,0,3,0,1,2,0,na1
20,0,0,0,0,0,1,0,3,0,0,2,0,na1
21,1,1,1,1,1,0,1,11,3,2,3,1,na1
22,0,1,0,1,0,1,0,8,1,1,4,1,na1
23,1,0,1,0,1,0,1,8,1,2,2,1,na1
24,0,1,0,0,0,0,0,2,0,0,0,0,na1
25,1,0,1,1,1,1,1,10,2,1,5,1,na1
26,0,0,1,0,0,0,1,1,0,0,0,1,na1
27,1,1,0,0,0,1,0,2,0,0,1,0,na1
28,1,0,1,1,1,0,1,10,1,1,3,1,na1
29,0,1,0,0,0,1,0,3,0,0,2,1,na1
30,0,1,0,0,0,0,1,3,0,0,0,1,na1
31,1,0,1,0,1,1,0,5,0,1,3,1,na1
32,1,1,0,1,1,0,1,9,1,1,1,1,na1
33,0,0,1,0,0,1,0,4,0,0,3,0,na1
34,0,1,1,0,0,1,1,5,0,0,2,2,na1
35,1,0,0,1,1,0,0,9,2,3,4,0,na1
36,1,0,1,0,0,1,0,4,0,0,3,1,na1
37,0,1,0,0,0,0,1,1,0,0,0,1,na1
38,0,0,0,0,0,1,0,0,0,0,1,0,na1
39,1,1,1,0,0,0,0,2,0,0,0,0,na1
40,1,1,0,0,0,1,0,3,0,0,3,0,na1
41,0,0,1,0,0,0,1,3,0,0,2,1,na1
42,0,0,0,0,0,0,0,1,0,0,1,0,na1
43,1,1,1,1,1,1,1,8,1,1,3,1,na1
44,1,1,1,1,0,1,1,9,1,0,2,2,na1
45,0,0,0,0,0,0,0,1,0,0,0,0,na1
46,1,1,1,0,1,0,1,6,0,1,2,2,na1
47,0,0,0,0,0,1,0,2,0,0,1,0,na1
48,1,1,1,1,1,0,0,11,4,1,1,0,na1
49,0,0,0,0,0,1,1,4,0,1,4,1,na1
50,0,1,0,0,0,0,1,1,0,0,0,1,na1
51,1,0,1,0,0,1,0,1,0,0,1,0,na1
52,0,1,1,0,0,0,1,4,0,0,3,1,na1
53,1,0,0,1,1,1,0,10,2,2,3,1,na1
54,0,0,0,0,0,0,0,0,0,0,0,0,na1
55,1,1,1,0,0,1,1,2,0,0,2,1,na1
56,0,0,0,0,0,0,1,2,0,0,0,1,na1
57,1,1,1,0,0,1,0,5,0,0,3,1,na1
58,1,0,1,0,0,0,0,3,0,0,2,0,na1
59,0,1,0,0,0,1,1,1,0,0,1,1,na1
60,1,0,1,1,0,0,1,3,2,0,0,1,na1
61,0,1,0,0,0,0,0,0,0,0,0,0,na1
62,0,0,0,0,0,0,0,0,0,0,0,0,na1
63,1,1,1,1,0,1,1,6,1,0,2,1,na1
64,1,1,1,1,1,1,1,8,1,1,3,1,na1
65,0,0,0,0,0,0,0,1,0,0,0,0,na1
66,0,1,0,0,0,1,0,1,0,0,1,1,na1
67,1,0,1,1,1,0,1,7,2,1,2,1,na1
68,0,0,0,0,1,0,0,2,0,1,0,0,na1
69,1,1,1,1,0,1,1,10,2,0,4,2,na1
70,0,0,0,0,0,0,0,0,0,0,0,0,na1
71,1,1,1,0,0,1,0,1,0,0,2,0,na1
72,0,0,1,0,1,1,1,5,0,1,1,1,na1
73,1,1,0,1,0,0,0,7,1,0,4,0,na1
74,0,0,0,0,0,0,0,0,0,0,0,0,na1
75,1,1,1,0,0,1,1,4,0,0,1,1,na1
76,0,1,0,0,0,0,0,0,0,0,0,0,na1
77,1,0,1,0,1,1,1,3,0,1,3,2,na1
78,0,1,1,0,1,0,1,7,0,1,1,2,na1
79,1,0,0,1,0,1,0,7,1,0,4,0,na1
80,1,1,1,1,1,0,1,7,1,1,1,2,na1
81,0,0,0,0,0,1,0,3,0,0,2,0,na1
82,1,0,1,1,1,0,1,9,2,2,4,2,na1
83,0,1,0,0,0,1,0,4,0,0,1,0,na1
84,0,0,0,0,0,1,0,0,0,0,1,0,na1
85,1,1,1,0,0,0,0,2,0,0,0,0,na1
86,0,0,0,0,0,0,1,1,0,0,0,1,na1
87,1,1,1,1,1,1,0,8,1,1,4,1,na1
88,0,0,0,0,0,1,0,4,0,0,2,1,na1
89,1,1,1,1,1,0,1,10,2,1,2,1,na1
90,1,1,1,0,0,1,1,6,0,0,4,2,na1
91,0,0,0,0,1,0,0,1,0,1,0,0,na1
92,0,0,0,0,0,0,0,0,0,0,0,0,na1
93,1,1,1,0,0,1,1,5,0,0,2,2,na1
94,1,1,1,1,0,0,1,11,7,1,2,2,na1
95,0,0,0,0,1,1,0,3,0,2,4,0,na1
96,1,0,1,1,1,0,1,11,4,2,0,2,na1
97,0,1,0,0,0,1,0,8,1,0,5,0,na1
98,1,1,1,0,1,1,1,6,0,1,2,2,na1
99,0,0,0,0,0,0,0,0,0,0,2,0,na1
100,1,0,1,1,1,1,1,5,1,1,2,1,na1
101,0,1,0,0,0,0,0,0,0,0,0,0,na1
102,0,1,1,1,1,0,1,6,1,1,0,1,na1
103,1,0,0,0,0,1,0,7,0,0,5,0,na1
104,1,0,0,0,0,0,0,0,0,0,0,0,na1
105,0,1,0,0,0,0,0,0,0,0,0,0,na1
106,1,0,1,1,0,0,0,8,2,0,2,0,na1
107,0,1,0,0,0,1,1,2,0,0,1,1,na1
108,0,0,1,0,0,0,0,2,1,0,0,0,na1
